Это типично для него.	It is typical of him. || It's typical of him.
Я всегда был хорош в математике.	I have always been good at maths. || I've always been good at maths. || I have always been good at math. || I've always been good at math.
Она не способна говорить неправду.	She is incapable of telling a lie. || She's incapable of telling a lie.
Он привык ложиться поздно.	He is accustomed to going to bed late. || He's accustomed to going to bed late. || He is used to going to bed late. || He's used to going to bed late.
Я не привык выступать на публике.	I am not used to speaking in public. || I'm not used to speaking in public. || I am not accustomed to speaking in public. || I'm not accustomed to speaking in public.
Наши идеи схожи с их идеями.	Our ideas are similar to theirs.
Она часто ревнует своего мужа.	She is often jealous of her husband. || She's often jealous of her husband.
Она сыта по горло этой рутиной.	She is fed up with this routine. || She's fed up with this routine.
Он не боится делать это.	He is not afraid of doing it. || He isn't afraid of doing it.
Я действительно боюсь это делать.	I am really afraid of doing it. || I'm really afraid of doing it.
Она боится искать новую работу.	She is afraid of looking for a new job. || She's afraid of looking for a new job.
Он всегда был хорош в цифрах.	He has always been good at figures. || He's always been good at figures.
Он действительно хорош в математике.	He is really good at maths. || He's really good at maths. || He is really good at math. || He's really good at math.
Он никогда не был хорош в футболе.	He has never been good at football. || He's never been good at football. || He has never been good at playing football.
Эти вещи тесно связаны друг с другом.	These things are closely related to each other. || These things are closely connected with each other.
Эти серии связаны друг с другом.	These series are related to each other. || These series are connected with each other.
Эти вещи совсем не связаны друг с другом.	These things are not related to each other at all. || These things aren't related to each other at all. || These things are not connected with each other at all.
Я вижу, что твоя точка зрения похожа на мою.	I see that your point of view is similar to mine.
Я вижу, что твоя идея похожа на её.	I see that your idea is similar to hers.
Эти две вещи очень похожи.	These two things are very similar.
Его обвинили в совершении того преступления.	He was accused of committing that crime.
Её обвинили в убийствах.	She was accused of murders. || She was accused of the murders.
Его обвинили во лжи.	He was accused of lying.
Я не привык делать это.	I am not used to doing it. || I'm not used to doing it. || I am not accustomed to doing it. || I'm not accustomed to doing it.
Я не привык вставать рано.	I am not used to getting up early. || I'm not used to getting up early. || I am not accustomed to getting up early. || I'm not accustomed to getting up early.
Он привык убирать в своей комнате два раза в неделю.	He is accustomed to cleaning his room twice a week. || He's accustomed to cleaning his room twice a week. || He is used to cleaning his room twice a week.
Она увлекается чтением иностранной литературы.	She is keen on reading foreign literature. || She's keen on reading foreign literature.
Он увлекается спортом.	He is keen on sport. || He's keen on sport. || He is keen on sports.
Она увлекается просмотром фильмов.	She is keen on watching movies. || She's keen on watching movies. || She is keen on watching films.
Я привык вставать рано.	I am used to getting up early. || I'm used to getting up early. || I am accustomed to getting up early. || I'm accustomed to getting up early. || I got used to getting up early. || I got accustomed to getting up early.
Я не привык просыпаться так рано.	I am not used to waking up so early. || I'm not used to waking up so early. || I am not accustomed to waking up so early. || I'm not accustomed to waking up so early.
Он не привык делать это.	He is not used to doing it. || He isn't used to doing it. || He is not accustomed to doing it. || He isn't accustomed to doing it.
Я очень быстро привык к этой погоде.	I got used to this weather very quickly. || I got accustomed to this weather very quickly.
Я не привык опаздывать на работу.	I am not used to being late for work. || I'm not used to being late for work. || I am not accustomed to being late for work. || I'm not accustomed to being late for work.
Мой коллега очень чувствителен к критике.	My colleague is very sensitive to criticism.
Я очень чувствителен к холоду.	I am very sensitive to the cold. || I'm very sensitive to the cold.
Некоторые люди очень чувствительны к критике.	Some people are very sensitive to criticism.
Все мы знаем, что деньги часто ассоциируются со счастьем.	We all know that money is often associated with happiness.
Мне нужно сказать кое-что, связанное с нашей последней встречей.	I need to say something related to our last meeting. || I need to say something connected with our last meeting.
Я особенно увлекаюсь изучением иностранных языков.	I am particularly keen on learning foreign languages. || I'm particularly keen on learning foreign languages.
Их обвинили в совершении преступления.	They were accused of committing a crime.
Я не думаю, что он способен сделать это.	I don't think he is capable of doing it. || I don't think that he is capable of doing it.
Это поведение довольно типично для большинства подростков.	This behaviour is quite typical of most teenagers. || This behavior is quite typical of most teenagers.
Я был действительно впечатлён красотой этого места.	I was really impressed by the beauty of this place.
Он ужасно владеет иностранными языками.	He is terrible at foreign languages. || He's terrible at foreign languages.
Я привык работать под давлением.	I am used to working under pressure. || I'm used to working under pressure. || I am accustomed to working under pressure. || I'm accustomed to working under pressure.
Его обвинили в убийстве.	He was accused of murder.
Я думаю, он не способен сделать это.	I think he is incapable of doing it. || I think he's incapable of doing it.
Я скоро привык к этому.	I soon got used to it. || I soon got accustomed to it.
