Я готов к этому.	I'm ready for it.
Чего ты боишься?	What are you afraid of?
Чего ей стыдно?	What is she ashamed of?
Ей стыдно за своё поведение.	She is ashamed of her behavior. || She's ashamed of her behavior.
Ей стыдно за это?	Is she ashamed of it?
За кем она замужем?	Who is she married to?
Она замужем за моим братом.	She is married to my brother. || She's married to my brother.
На ком он женат?	Who is he married to?
Чего он испугался?	What was he frightened of?
Чего он боится?	What is he frightened of?
Он испугался этого?	Was he frightened of it?
На что она злится?	What is she angry about?
Она злится на меня?	Is she angry with me?
Я больше на тебя не злюсь.	I'm not angry with you anymore. || I am not angry with you anymore.
Тебе нужно быть вежливее с ним.	You need to be more polite to him.
Она действительно боится неизвестности.	She is really scared of the unknown. || She's really scared of the unknown.
Я был полностью удовлетворён результатами теста.	I was fully satisfied with the results of the test.
Это очень эгоистично с его стороны — так себя вести.	It's very selfish of him to behave so. || It is very selfish of him to behave so.
Он очень подозрительно относится к другим.	He is very suspicious of others. || He's very suspicious of others.
Это очень эгоистично с его стороны — игнорировать потребности других людей.	It's very selfish of him to ignore other people's needs. || It is very selfish of him to ignore other people's needs.
Не принимай это близко к сердцу.	Don't take it to heart. || Don't take it to your heart. || Don't take it too hard.
Я вижу, ты очень увлечён этим проектом.	I see you're very enthusiastic about this project. || I see you are very enthusiastic about this project.
Я не удовлетворён качеством этих продуктов.	I am not satisfied with the quality of these products. || I'm not satisfied with the quality of these products.
Тебе следует быть вежливее со своими коллегами.	You should be more polite to your colleagues. || You should be more polite to colleagues.
Чем они удивлены?	What are they surprised by?
На что он злится?	What is he angry about?
Чем ты любишь заниматься?	What are you fond of doing?
